"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"HARTINGTON IHD","44.428","-76.690","ON","8.6","0","2.4","27.5","0","-2.0","0","0.0","0","0.0","130.6","0","166.0","0.0","12","","",NA,"282.4","1.8","6103367"
"KEMPTVILLE CS","45.000","-75.633","ON","7.6","0",NA,"27.1","0","-3.5","0","",,NA,"123.4","0",NA,"","14","",,NA,"312.2","1.2","6104027"
"KINGSTON CLIMATE","44.223","-76.599","ON","7.3","0",NA,"24.0","0","-2.3","0","",,NA,"137.7","0",NA,"","18","",,NA,"320.9","0.0","6104142"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","8.1","3","1.8","23.0","3","-3.5","3","0.0","3",NA,"125.3","3",NA,"0.0","11","","",NA,"266.0","0.0","6104725"
"MOOSE CREEK WELLS","45.251","-74.963","ON","7.2","0",NA,"25.8","0","-3.7","0","",,NA,"",,NA,"","","",,NA,"324.6","0.5","6105397"
"OMPAH-SEITZ","45.054","-76.784","ON","7.2","0",NA,"27.5","0","-4.5","0","12.0","0",NA,"101.2","0",NA,"0.0","13","","",NA,"326.3","1.5","6105762"
"OTTAWA CDA","45.383","-75.717","ON","7.7","0","1.3","26.0","0","-4.5","0","0.0","0","0.0","159.0","0","224.0","0.0","14","","",NA,"309.5","1.0","6105976"
"OTTAWA CDA RCS","45.383","-75.717","ON","7.3","1",NA,"26.1","1","-4.8","0","",,NA,"131.2","1",NA,"","12","",,NA,"310.6","1.1","6105978"
"OTTAWA INTL A","45.317","-75.667","ON","7.4","0",NA,"26.6","0","-4.0","0","0.4","0",NA,"147.8","0",NA,"","14","",,NA,"319.4","1.2","6106001"
"PEMBROKE CLIMATE","45.860","-77.252","ON","6.0","1",NA,"25.8","1","-4.8","0","",,NA,"126.5","1",NA,"","13","",,NA,"348.3","0.6","6106367"
"PETAWAWA AWOS 2","45.950","-77.317","ON","5.9","1",NA,"25.5","0","-5.3","1","",,NA,"126.0","0",NA,"","15","",,NA,"351.5","0.0","6106396"
