"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BALDWIN","44.267","-79.319","ON","12.2","0",NA,"31.0","0","-1.5","0","0.0","0",NA,"120.8","0",NA,"0.0","11","","",NA,"191.9","10.6","6110480"
"BARRIE LANDFILL","44.385","-79.736","ON","11.6","9",NA,"30.0","5","-0.5","5","0.0","5",NA,"139.7","5",NA,"0.0","13","","",NA,"147.8","7.5","6110556"
"BEATRICE CLIMATE","45.140","-79.403","ON","10.1","1",NA,"28.4","1","-3.4","0","",,NA,"130.2","1",NA,"","12","",,NA,"238.1","1.4","6110607"
"COLDWATER WARMINSTER","44.631","-79.539","ON","11.7","0",NA,"30.5","0","-1.0","0","0.0","0",NA,"170.6","0",NA,"0.0","12","","",NA,"208.3","14.3","6111769"
"COLLINGWOOD","44.500","-80.217","ON","11.1","0",NA,"30.8","0","1.0","0","",,NA,"100.4","0",NA,"","9","",,NA,"221.0","8.6","6111792"
"LAGOON CITY","44.547","-79.217","ON","10.7","4",NA,"22.7","3","1.6","2","",,NA,"",,NA,"","","",,NA,"197.8","0.0","6114295"
"MARKDALE","44.269","-80.712","ON","10.8","3",NA,"28.5","3","-4.0","3","0.2","3",NA,"115.6","3",NA,"0.0","10","","",NA,"212.5","11.1","6114979"
"MIDLAND WATER POLLUTION CONTROL PLANT","44.758","-79.875","ON","8.5","30","-3.7","15.0","30","2.0","30","0.0","30",NA,"16.1","30",NA,"","1","","",NA,"9.5","0.0","6115127"
"MUSKOKA","44.975","-79.303","ON","10.2","8",NA,"30.2","8","-2.9","8","",,NA,"123.5","8",NA,"","11","",,NA,"184.8","5.2","6115529"
"NIPISSING","46.100","-79.521","ON","",,NA,"",,"",,"0.0","5",NA,"69.4","5",NA,"0.0","10","","",NA,"","","6115669"
"ORILLIA BRAIN","44.603","-79.439","ON","11.8","0",NA,"30.5","0","-1.5","0","0.0","0",NA,"180.6","0",NA,"0.0","11","","",NA,"203.8","12.1","6115811"
"PARRY SOUND CCG","45.344","-80.044","ON","10.9","1",NA,"26.6","1","-0.8","0","",,NA,"85.8","1",NA,"","7","",,NA,"214.2","1.9","6116257"
"SHANTY BAY","44.399","-79.633","ON","11.5","0","-0.6","30.0","0","-0.5","0","0.0","0","0.0","123.6","0","155.0","0.0","11","","",NA,"209.3","9.3","6117684"
"BARRIE-ORO","44.483","-79.550","ON","10.6","0",NA,"29.6","0","-2.6","0","",,NA,"142.5","0",NA,"","12","",,NA,"235.0","4.3","6117700"
"SPRUCEDALE","45.425","-79.488","ON","",,NA,"",,"",,"0.6","0",NA,"111.2","0",NA,"0.0","12","","",NA,"","","6117981"
"THORNBURY 3","44.551","-80.468","ON","",,NA,"",,"",,"0.0","0",NA,"118.8","0",NA,"0.0","12","","",NA,"","","6118240"
"UDORA","44.263","-79.161","ON","11.8","0","-0.4","30.0","0","-2.0","0","0.0","0",NA,"130.8","0","159.0","0.0","12","","",NA,"204.0","10.6","6119055"
"WIARTON A","44.744","-81.109","ON","10.3","0",NA,"28.4","0","-0.5","0","0.0","0",NA,"66.2","0",NA,"","10","",,NA,"242.4","5.1","6119499"
"WESTERN ISLAND (AUT)","45.033","-80.367","ON","8.7","4",NA,"25.6","3","2.1","2","",,NA,"",,NA,"","","",,NA,"251.6","0.0","6119M51"
"BORDEN AWOS","44.272","-79.912","ON","9.9","8",NA,"31.3","7","-3.7","1","",,NA,"85.5","8",NA,"","9","",,NA,"190.3","3.3","611B002"
"EGBERT CS","44.233","-79.783","ON","11.0","0",NA,"29.6","0","-0.7","0","",,NA,"101.2","0",NA,"","9","",,NA,"221.2","4.6","611E001"
"COVE ISLAND (AUT)","45.333","-81.733","ON","8.4","4",NA,"20.7","3","2.6","2","",,NA,"",,NA,"","","",,NA,"260.0","0.0","61219J2"
"GODERICH","43.767","-81.717","ON","11.2","0",NA,"27.1","0","-0.7","0","",,NA,"73.0","0",NA,"","10","",,NA,"216.0","6.2","6122847"
"KINCARDINE","44.173","-81.623","ON","11.2","14",NA,"29.0","14","-0.5","14","0.0","14",NA,"38.6","14",NA,"0.0","5","","",NA,"122.0","6.8","6124127"
