"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"PETAWAWA HOFFMAN","45.883","-77.250","ON","18.0","0",NA,"33.0","0","5.5","0","0.0","0",NA,"186.8","0",NA,"0.0","16","","",NA,"44.7","44.3","610FC98"
"BALDWIN","44.267","-79.319","ON","17.4","0",NA,"31.0","0","4.0","0","0.0","0",NA,"163.0","0",NA,"0.0","20","","",NA,"57.0","39.3","6110480"
"BARRIE LANDFILL","44.385","-79.736","ON","17.3","13",NA,"30.0","7","6.0","6","0.0","7",NA,"126.5","7",NA,"0.0","16","","",NA,"31.9","19.5","6110556"
"BEATRICE CLIMATE","45.140","-79.403","ON","15.4","2",NA,"27.7","2","2.2","0","",,NA,"151.6","2",NA,"","12","",,NA,"88.8","15.3","6110607"
"COLDWATER WARMINSTER","44.631","-79.539","ON","17.6","0",NA,"30.5","0","6.0","0","0.0","0",NA,"168.0","0",NA,"0.0","16","","",NA,"56.8","45.5","6111769"
"COLLINGWOOD","44.500","-80.217","ON","17.3","1",NA,"30.9","1","5.4","0","",,NA,"139.6","2",NA,"","10","",,NA,"59.8","40.9","6111792"
"LAGOON CITY","44.547","-79.217","ON","17.2","1",NA,"27.7","1","8.5","1","",,NA,"",,NA,"","","",,NA,"53.2","29.8","6114295"
"MARKDALE","44.269","-80.712","ON","16.9","5",NA,"29.0","5","1.5","5","0.0","5",NA,"203.2","5",NA,"0.0","17","","",NA,"55.4","27.8","6114979"
"MUSKOKA","44.975","-79.303","ON","16.5","7",NA,"29.6","7","3.7","7","",,NA,"138.5","7",NA,"","15","",,NA,"54.3","19.7","6115529"
"NIPISSING","46.100","-79.521","ON","",,NA,"",,"",,"0.0","2",NA,"110.8","2",NA,"0.0","13","","",NA,"","","6115669"
